"Firm Name","Investor Full Name","Signal Profile link","Sweet Spot","Min","Max","Locations","Intro Source","Intro Strength"
"","Kevin Lee","https://signal.nfx.com/investors/kevin-lee","$25000","$10000","$50000","Global","N/A",""
"Comal Ventures","Ryan Merket","https://signal.nfx.com/investors/ryan-merket","$50000","$25000","$100000","Austin, Texas, San Francisco, California, Los Angeles, California, New York, New York","N/A",""
"Hustle Fund","Elizabeth Yin","https://signal.nfx.com/investors/hustle-fund-deals","$75000","$50000","$100000","San Francisco, California, San Francisco Bay Area","N/A",""
"Homebrew (Seed Stage Venture Capital)","Hunter Walk","https://signal.nfx.com/investors/hunter-walk","$100000","$50000","$250000","Global, San Francisco, California","N/A",""
"Silicon Valley Connect","Ellen Levy","https://signal.nfx.com/investors/ellen-levy","$50000","$25000","$75000","San Francisco Bay Area","N/A",""
"MHS Capital","Mark Sugarman","https://signal.nfx.com/investors/mark-sugarman","$50000","$25000","$100000","San Francisco, California","N/A",""
"","Varsha Rao","https://signal.nfx.com/investors/varsha-rao","$100000","$25000","$250000","San Francisco Bay Area, Bangalore, Los Angeles, California","N/A",""
"Obscura","Lance Cottrell","https://signal.nfx.com/investors/lance-cottrell","$25000","$5000","$50000","","N/A",""
"v1.vc","Brett Jackson","https://signal.nfx.com/investors/brett-jackson","$100000","$50000","$100000","Boulder, Colorado","N/A",""
"KRM Interests LLC","Kevin Moore","https://signal.nfx.com/investors/kevin-moore","$100000","$25000","$250000","California, Utah, New York, Chicago, Illinois, Boston / New England, Austin, Texas, Colorado, Seattle / Portland, Canada","N/A",""
"","Charlie Songhurst","https://signal.nfx.com/investors/charles-songhurst","$100000","$10000","$500000","Paris, France","N/A",""
"Great Oaks Venture Capital","Henry McNamara","https://signal.nfx.com/investors/henry-mcnamara","$275000","$50000","$500000","New York, New York","N/A",""
"Alumni Ventures ","Ludwig Schulze","https://signal.nfx.com/investors/ludwig-schulze","$1000000","$25000","$10000000","","N/A",""
"Boom Capital","Celestine (Johnson) Schnugg","https://signal.nfx.com/investors/celestine-johnson","$200000","$50000","$300000","San Francisco Bay Area","N/A",""
"Centre Street Partners","Abe J Cohen","https://signal.nfx.com/investors/abe-j-cohen","$50000","$25000","$500000","","N/A",""
"Tectonic Capital","Avi Rosenbaum","https://signal.nfx.com/investors/avi-rosenbaum","$250000","$50000","$500000","New York City, Boston / New England, San Francisco Bay Area, San Diego, California, Israel, Europe","N/A",""
"Polymath Capital Partners","Ben Hassler","https://signal.nfx.com/investors/ben-hassler","$125000","$25000","$250000","New York City","N/A",""
"SOSV","Bill Liao","https://signal.nfx.com/investors/bill-liao","$200000","$5000","$10000000","United States","N/A",""
"Debut Capital","Bobak Emamian","https://signal.nfx.com/investors/bobak-emamian","$50000","$25000","$200000","United States","N/A",""
"Long Journey Ventures","Justin Mares","https://signal.nfx.com/investors/justin-mares","$25000","$10000","$250000","Austin, Texas","N/A",""
"Building The Machine","Eric Friedman","https://signal.nfx.com/investors/eric-friedman","$25000","$1000","$100000","New York, New York","N/A",""
"Angel","Jon Nordmark","https://signal.nfx.com/investors/jon-nordmark","$25000","$25000","$200000","Littleton, Colorado","N/A",""
"ARCH Venture Partners","Kristina Burow","https://signal.nfx.com/investors/kristina-burow","$50000","$50000","$150000000","San Francisco Bay Area","N/A",""
"Combustion Ventures","Mehdi Maghsoodnia","https://signal.nfx.com/investors/mehdi-maghsoodnia","$50000","$25000","$1000000","San Francisco Bay Area","N/A",""
"Advantage Capital","Tyler Mayoras","https://signal.nfx.com/investors/tyler-mayoras","$5","$2","$15","","N/A",""
"Gaingels","Zachary Ginsburg","https://signal.nfx.com/investors/zachary-ginsburg","$25000000","$50000","$50000000","United States","N/A",""
"Danimazal LLC","shlomi podgaetz","https://signal.nfx.com/investors/shlomi-podgaetz","$25000","$5000","$50000","Austin, Texas, United States, Israel, Mexico, Mexico","N/A",""
"","Caleb Rockstone","https://signal.nfx.com/investors/caleb-rockstone","$50000","$10000","$300000","United Kingdom, Israel, Africa, Middle East, Paris, France, San Francisco Bay Area, London","N/A",""
"","Daniel Mathon","https://signal.nfx.com/investors/daniel-mathon","$100000","$5000","$200000","","N/A",""
"","Louis Lehot","https://signal.nfx.com/investors/louis-lehot","$50","$50","$50","Palo Alto, California","N/A",""
"","Vicki Politis","https://signal.nfx.com/investors/vicki-politis","$50000","$1000","$100000","","N/A",""
"","Andrew Nutter","https://signal.nfx.com/investors/andrew-nutter","$30000","$20000","$50000","San Francisco, California, New York, New York, Berlin, Germany, London, Paris, France","N/A",""
"YOBE Ventures","Cesare Pesci","https://signal.nfx.com/investors/cesare-pesci","$350000","$50000","$1000000","Oklahoma, Minnesota, Georgia, Arkansas, Alaska, Colorado, Louisiana, Virginia, New Hampshire, Pennsylvania, Ohio, Utah, Massachusetts, Bermuda, Hawaii, Middle East, Mississippi, Wisconsin, Arizona, New Jersey, New Mexico, New York, North Dakota, North Carolina, South Carolina, South Dakota, Illinois, Washington, Texas, California, Florida, Europe","N/A",""
"Tectonic Capital","Josef Feldman","https://signal.nfx.com/investors/josef-feldman","$500000","$50000","$2000000","New York, San Francisco, California, Israel, California, Global","N/A",""
"","Kevin Colas","https://signal.nfx.com/investors/kevin-colas","$100000","$50000","$250000","Israel, Europe, United States","N/A",""
"","Marc McCabe","https://signal.nfx.com/investors/marc-mccabe","$250000","$50000","$2000000","","N/A",""
"","Yechiel Engelhard","https://signal.nfx.com/investors/yechiel-engelhard","$40000","$20000","$150000","United States, Israel","N/A",""
"Ensemble Brands","Ben York","https://signal.nfx.com/investors/ben-york","$100000","$50000","$250000","","N/A",""
"GPO Fund","Chris Fisher","https://signal.nfx.com/investors/chris-fisher_2","$10","$10","$15","Global","N/A",""
"Sommet AB","Christer Andersson","https://signal.nfx.com/investors/christer-andersson","$50000","$25000","$250000","Stockholm, Sweden, Global","N/A",""
